ssoid;ts;grp;type;subtype;url;orgid;formid;code;ltpa;sudirresponse;ymdh
47675611-be45-4f9d-be50-43ef8dbf0528;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/#step_2;guis;-47;MPGU;;;2017-07-11-09
9fe851ef-07ca-4e9a-b872-89f6448e5c49;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
06c876c8-99fb-44d8-ac7f-b095a41b740d;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
c53cab62-9d60-4629-9b2d-29231fcc29fd;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
8c310662-6082-48f8-9d98-155b6c3ea5a5;2499763594;msr_010303;search;success;;;;;;;2017-07-11-09
d052e157-b5b5-4b0d-b785-63dc983e03b2;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
b3178194-f075-482b-9374-65a7702f193a;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
d499cd19-a667-4aaf-9dad-e5825028f490;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=topindex#step_2;guis;-47;MPGU;;;2017-07-11-09
d36a3b41-3384-4401-850f-0abb5d1be1bc;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
5eb198f2-d152-4b1e-856b-41d714151f7f;2499763594;mosenergo_counters;step;change;https://www.mos.ru/pgu/ru/application/mosenergo/counters/#step_1;mosenergo;counters;MPGU;;;2017-07-11-09
02facbeb-4fe8-4fd5-bd59-76978f27d3ba;2499763594;gibdd_form;try_to_pay;click;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=85532#step_1;gibdd;fines;MPGU;;;2017-07-11-09
07eab224-e98f-4480-9fe7-7cdfee10972e;2499763594;charges;search;success;;;;;;;2017-07-11-09
92a97f80-51ce-4930-b9d8-e7c6b0c24473;2499763594;dogm_journal;enter;service;https://www.mos.ru/pgu/ru/application/dogm/journal/?onsite_from=popular#step_1;dogm;journal;MPGU;;;2017-07-11-09
31d06794-11f9-4a19-ad43-72fcf35314e3;2499763594;1111;getCounter;success;;;;;;;2017-07-11-09
06c876c8-99fb-44d8-ac7f-b095a41b740d;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
a47a1208-eb80-442a-a013-451a5d6e1558;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/#step_2;guis;-47;MPGU;;;2017-07-11-09
a1023256-ed99-4b13-854d-1a410a4b40ea;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular;guis;-47;MPGU;;;2017-07-11-09
56e3d019-06fb-4a3a-b02c-27a7b1045179;2499763594;dtis_020301;step;change;https://www.mos.ru/pgu/ru/application/dtis/020301/#step_7;dtis;20301;MPGU;;;2017-07-11-09
56e3d019-06fb-4a3a-b02c-27a7b1045179;2499763594;dtis_020301;step;change;https://www.mos.ru/pgu/ru/application/dtis/020301/#step_7;dtis;20301;MPGU;;;2017-07-11-09
d4ecbd35-2179-46b4-b5a5-0045af9e8865;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
2f7e3730-c003-46c9-a90d-29abd799d047;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
92a5d1fb-9ed9-4a49-a1c4-f7ab19bb8adb;2499763594;mosenergo_counters;step;change;https://www.mos.ru/pgu/ru/application/mosenergo/counters/?onsite_from=popular#step_2;mosenergo;counters;MPGU;;;2017-07-11-09
Unauthorized;2499763594;charges;search;success;;;;;;;2017-07-11-09
e2f95d07-5f74-4fea-9884-c72e02179397;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
81bba763-e388-42ed-8953-6c62905e6961;2499763594;gibdd_fines;formcontroller;start;https://www.mos.ru/pgu/ru/application/gibdd/fines/;gibdd;fines;MPGU;;;2017-07-11-09
8906864a-3bda-4264-ac20-d436b6ef0ca1;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
ebc967a6-2a00-4165-9f3d-6e9d30ff405a;2499763594;elk;save;cancel;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
4d94b4d4-b47f-43fe-b9b8-ef83b5693ba5;2499763594;dzm_mkom;formcontroller;start;https://www.mos.ru/pgu/ru/application/dzm/mkom/;dzm;mkom;MPGU;;;2017-07-11-09
4b788ca8-80d2-4eb4-a3d0-e679545f3a0c;2499763594;charges;search;success;;;;;;;2017-07-11-09
33f24cde-db37-46a2-bb43-5695b924e96a;2499763594;1111;addCounter;success;;;;;;;2017-07-11-09
3c43ae98-067d-4e6b-8fd4-f1c489db471b;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
38f4cfcc-9ec1-46a6-8918-451403123ca1;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular;guis;-47;MPGU;;;2017-07-11-09
33f24cde-db37-46a2-bb43-5695b924e96a;2499763594;1111;getCounter;success;;;;;;;2017-07-11-09
b2fcadba-039d-48e3-bd6c-2cc70a3046dc;2499763594;mosenergo_counters;step;change;https://www.mos.ru/pgu/ru/application/mosenergo/counters/?onsite_from=popular#step_2;mosenergo;counters;MPGU;;;2017-07-11-09
0e8f6799-a647-4eef-b794-db0846e871ce;2499763594;guis_1111;step;change;https://www.mos.ru/pgu/ru/application/guis/1111/?onsite_from=popular#step_1;guis;1111;MPGU;;;2017-07-11-09
72f320b3-760c-4134-a4ae-9024c4d30314;2499763594;guis-47;bill;pay;;;;;;;2017-07-11-09
a862e41d-e005-498c-af63-f8fe6ae51252;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
Unauthorized;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
98f77082-dd41-44df-9f0a-d991e1526dfb;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
8ce54f64-e1c8-4039-8a12-5e78ca457c3b;2499763594;dgi_316;formcontroller;send;https://www.mos.ru/pgu/ru/application/dgi/316/#step_2;dgi;316;MPGU;;;2017-07-11-09
d2bce43e-b69f-4c1d-a1f9-32da5d7436e7;2499763594;clinics_reg;doc;before;;;;;;;2017-07-11-09
ed330b1e-2cf5-4b23-a7a0-cdd13d20a074;2499763594;guis_1111;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/1111/?onsite_from=popular;guis;1111;MPGU;;;2017-07-11-09
563e74e0-32cc-43ed-9db5-0d67320fc308;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
d0ed2cbd-4f73-4133-a90e-e0c7f9b910c7;2499763594;dzm_086901;step;change;https://www.mos.ru/pgu/ru/application/dzm/086901/#step_4;dzm;86901;MPGU;;;2017-07-11-09
02253d25-325b-45f9-8622-cd95232fde26;2499763594;dtis_020401;step;change;https://www.mos.ru/pgu/ru/application/dtis/020401/#step_5;dtis;20401;MPGU;;;2017-07-11-09
d0ed2cbd-4f73-4133-a90e-e0c7f9b910c7;2499763594;dzm_086901;formcontroller;start;https://www.mos.ru/pgu/ru/application/dzm/086901/#step_4;dzm;86901;MPGU;;;2017-07-11-09
c66a9378-820c-475d-8464-0ec9b3828b58;2499763594;dogm_04201;request;sent;https://www.mos.ru/pgu/ru/application/dogm/040201/?onsite_from=popular#;dogm;40201;MPGU;;;2017-07-11-09
b6b192d8-8425-4b56-8c92-1d7ddce79fc4;2499763594;gibdd_fines;step;change;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=86532#step_1;gibdd;fines;MPGU;;;2017-07-11-09
fdcee90e-85a4-4a78-8a30-24377ab8b6eb;2499763594;clinics_reg;ldp;before;;;;;;;2017-07-11-09
a57384c1-5f6c-44c3-b2f0-d889cdffa517;2499763594;guis_1111;step;change;https://www.mos.ru/pgu/ru/application/guis/1111/?onsite_from=topindex#step_1;guis;1111;MPGU;;;2017-07-11-09
6b4044a6-5433-4994-8bce-d5273017d9dd;2499763594;gibdd_fines;step_epsh;success;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_2;gibdd;fines;MPGU;;;2017-07-11-09
d052e157-b5b5-4b0d-b785-63dc983e03b2;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
9fe851ef-07ca-4e9a-b872-89f6448e5c49;2499763594;guis-47;getEpd;fail;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
Unauthorized;2499763594;taxi_zapros;listSuccess;;https://www.mos.ru/pgu/ru/application/taxi/zapros/?utm_source=EVP&utm_campaign=people&utm_term=98&utm_medium=cpc&utm_content=2065#step_2;taxi;zapros;MPGU;;;2017-07-11-09
9ff431e5-544f-4b07-b643-878fdcfe9d8c;2499763594;1111;addCounter;success;;;;;;;2017-07-11-09
c32d076c-d58c-4f70-b1e7-39ef6866a8f0;2499763594;dogm_04201;answer;done;https://www.mos.ru/pgu/ru/application/dogm/040201/?onsite_from=topindex#step_1;dogm;40201;MPGU;;;2017-07-11-09
99c76e35-a25c-4219-bce5-1aa9b733a929;2499763594;charges;search;success;;;;;;;2017-07-11-09
2a451931-c32c-4c21-8940-29c7085acf2a;2499763594;taxi_zapros;listSuccess;;https://www.mos.ru/pgu/ru/application/taxi/zapros/#step_2;taxi;zapros;MPGU;;;2017-07-11-09
5465829f-af0e-4af9-ad47-c2d173debcb7;2499763594;gibdd_form;difference_payment_status;result;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_1;gibdd;fines;MPGU;;;2017-07-11-09
faf4540a-adb9-45dc-b22b-ec3e8ba15dd0;2499763594;clinics_reg;ldp;after;;;;;;;2017-07-11-09
2cf926c2-f3be-4917-abd3-5190b7f4abef;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
6a0125f9-0b2c-48d5-92f4-1c3c63cd6a01;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
7d1236b1-cb8f-4cbf-945e-f31dc8f13559;2499763594;guis_-47;formcontroller;start;https://www.mos.ru/pgu/ru/application/guis/-47/;guis;-47;MPGU;;;2017-07-11-09
8bad435e-6c62-4d4d-adb3-389cd16247fe;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_2;guis;-47;MPGU;;;2017-07-11-09
e25b0e70-5554-4be6-84c8-e4c090f030e7;2499763594;charges;search;success;;;;;;;2017-07-11-09
929a3e58-17be-4878-911f-0120f20e1849;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
929a3e58-17be-4878-911f-0120f20e1849;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#step_1;guis;-47;MPGU;;;2017-07-11-09
a30afd01-d1c3-4538-9116-3e53161914be;2499763594;guis_-47;formcontroller;send;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
73d871a4-6a35-4920-82e5-11d81762b502;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
ebc967a6-2a00-4165-9f3d-6e9d30ff405a;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
488922db-8132-45c3-aee3-9b09f075213a;2499763594;guis_-47;step;change;https://www.mos.ru/pgu/ru/application/guis/-47/#step_1;guis;-47;MPGU;;;2017-07-11-09
566dde55-9c50-464a-9d95-9c20c0de3f2e;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
8e030051-9877-47da-a9bf-eac9b28a17c5;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
99348f6a-e9b6-4926-ae44-77ced9e15ee7;2499763594;guis-47;getEpd;success;https://www.mos.ru/pgu/ru/application/guis/-47/?onsite_from=popular#;guis;-47;MPGU;;;2017-07-11-09
9fe851ef-07ca-4e9a-b872-89f6448e5c49;2499763594;guis-47;bill;prepare;;;;;;;2017-07-11-09
8cfa6928-c66e-4cf4-8534-fb01ab8ec3b4;2499763594;gibdd_fines;formcontroller;start;https://www.mos.ru/pgu/ru/application/gibdd/fines/?onsite_from=popular#step_1;gibdd;fines;MPGU;;;2017-07-11-09
e3069a8c-9524-4ab9-ae27-e5320c99d944;2499763594;clinics_reg;error;soapfault;;;;;;;2017-07-11-09
d0013e24-b253-4047-9aeb-dbfc4b99e29a;2499763594;1111;addError;3;;;;;;;2017-07-11-09
2d82038e-e6a2-4027-97e3-c933b1e64d16;2499763594;guis_1111;step;change;https://www.mos.ru/pgu/ru/application/guis/1111/?onsite_from=topindex#step_1;guis;1111;MPGU;;;2017-07-11-09
